period,respondent,respondent-name,fueltype,type-name,value,value-units
2021-06-01T08,CISO,California Independent System Operator,NG,Natural gas,8733,megawatthours
2021-06-01T09,CISO,California Independent System Operator,OIL,Petroleum,87,megawatthours
2021-06-01T09,CISO,California Independent System Operator,SUN,Solar,-7,megawatthours
2021-06-01T09,CISO,California Independent System Operator,OTH,Other,-21,megawatthours
2021-06-01T09,CISO,California Independent System Operator,WND,Wind,2893,megawatthours
2021-06-01T09,CISO,California Independent System Operator,COL,Coal,18,megawatthours
2021-06-01T09,CISO,California Independent System Operator,WAT,Hydro,1004,megawatthours
2021-06-01T09,CISO,California Independent System Operator,NG,Natural gas,7713,megawatthours
2021-06-01T09,CISO,California Independent System Operator,NUC,Nuclear,2277,megawatthours
2021-06-01T10,CISO,California Independent System Operator,COL,Coal,18,megawatthours
2021-06-01T10,CISO,California Independent System Operator,SUN,Solar,-8,megawatthours
2021-06-01T10,CISO,California Independent System Operator,WND,Wind,2454,megawatthours
2021-06-01T10,CISO,California Independent System Operator,NUC,Nuclear,2277,megawatthours
2021-06-01T10,CISO,California Independent System Operator,NG,Natural gas,7898,megawatthours
2021-06-01T10,CISO,California Independent System Operator,OTH,Other,-230,megawatthours
2021-06-01T10,CISO,California Independent System Operator,OIL,Petroleum,87,megawatthours
2021-06-01T10,CISO,California Independent System Operator,WAT,Hydro,1000,megawatthours
2021-06-01T11,CISO,California Independent System Operator,NG,Natural gas,7780,megawatthours
2021-06-01T11,CISO,California Independent System Operator,NUC,Nuclear,2278,megawatthours
2021-06-01T11,CISO,California Independent System Operator,COL,Coal,18,megawatthours
2021-06-01T11,CISO,California Independent System Operator,OIL,Petroleum,87,megawatthours
2021-06-01T11,CISO,California Independent System Operator,WAT,Hydro,1038,megawatthours
2021-06-01T11,CISO,California Independent System Operator,OTH,Other,-119,megawatthours
2021-06-01T11,CISO,California Independent System Operator,SUN,Solar,-8,megawatthours
2021-06-01T11,CISO,California Independent System Operator,WND,Wind,2020,megawatthours
2021-06-01T12,CISO,California Independent System Operator,OIL,Petroleum,87,megawatthours
2021-06-01T12,CISO,California Independent System Operator,SUN,Solar,-9,megawatthours
2021-06-01T12,CISO,California Independent System Operator,WAT,Hydro,1173,megawatthours
2021-06-01T12,CISO,California Independent System Operator,COL,Coal,19,megawatthours
2021-06-01T12,CISO,California Independent System Operator,WND,Wind,1806,megawatthours
2021-06-01T12,CISO,California Independent System Operator,OTH,Other,68,megawatthours
2021-06-01T12,CISO,California Independent System Operator,NUC,Nuclear,2279,megawatthours
2021-06-01T12,CISO,California Independent System Operator,NG,Natural gas,8162,megawatthours
2021-06-01T13,CISO,California Independent System Operator,WAT,Hydro,1364,megawatthours
2021-06-01T13,CISO,California Independent System Operator,NUC,Nuclear,2275,megawatthours
2021-06-01T13,CISO,California Independent System Operator,OIL,Petroleum,87,megawatthours
2021-06-01T13,CISO,California Independent System Operator,WND,Wind,1712,megawatthours
2021-06-01T13,CISO,California Independent System Operator,SUN,Solar,556,megawatthours
2021-06-01T13,CISO,California Independent System Operator,NG,Natural gas,8731,megawatthours
2021-06-01T13,CISO,California Independent System Operator,COL,Coal,18,megawatthours
2021-06-01T13,CISO,California Independent System Operator,OTH,Other,153,megawatthours
2021-06-01T14,CISO,California Independent System Operator,OTH,Other,-77,megawatthours
2021-06-01T14,CISO,California Independent System Operator,SUN,Solar,5279,megawatthours
2021-06-01T14,CISO,California Independent System Operator,WND,Wind,1446,megawatthours
2021-06-01T14,CISO,California Independent System Operator,NG,Natural gas,7633,megawatthours
2021-06-01T14,CISO,California Independent System Operator,COL,Coal,18,megawatthours
2021-06-01T14,CISO,California Independent System Operator,NUC,Nuclear,2275,megawatthours
2021-06-01T14,CISO,California Independent System Operator,WAT,Hydro,1191,megawatthours
2021-06-01T14,CISO,California Independent System Operator,OIL,Petroleum,87,megawatthours
2021-06-01T15,CISO,California Independent System Operator,OIL,Petroleum,62,megawatthours
2021-06-01T15,CISO,California Independent System Operator,WND,Wind,1051,megawatthours
2021-06-01T15,CISO,California Independent System Operator,OTH,Other,-346,megawatthours
2021-06-01T15,CISO,California Independent System Operator,COL,Coal,18,megawatthours
2021-06-01T15,CISO,California Independent System Operator,SUN,Solar,9483,megawatthours
2021-06-01T15,CISO,California Independent System Operator,NG,Natural gas,7089,megawatthours
2021-06-01T15,CISO,California Independent System Operator,WAT,Hydro,989,megawatthours
2021-06-01T15,CISO,California Independent System Operator,NUC,Nuclear,2275,megawatthours
2021-06-01T16,CISO,California Independent System Operator,SUN,Solar,11002,megawatthours
2021-06-01T16,CISO,California Independent System Operator,NUC,Nuclear,2276,megawatthours
2021-06-01T16,CISO,California Independent System Operator,OIL,Petroleum,53,megawatthours
2021-06-01T16,CISO,California Independent System Operator,COL,Coal,19,megawatthours
2021-06-01T16,CISO,California Independent System Operator,WAT,Hydro,637,megawatthours
2021-06-01T16,CISO,California Independent System Operator,NG,Natural gas,7885,megawatthours
2021-06-01T16,CISO,California Independent System Operator,OTH,Other,-390,megawatthours
