period,respondent,respondent-name,type,type-name,value,value-units
2022-06-01T17,CISO,California Independent System Operator,D,Demand,24586,megawatthours
2022-06-01T17,CISO,California Independent System Operator,TI,Total interchange,-4905,megawatthours
2022-06-01T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22198,megawatthours
2022-06-01T17,CISO,California Independent System Operator,NG,Net generation,20282,megawatthours
2022-06-01T18,CISO,California Independent System Operator,D,Demand,24425,megawatthours
2022-06-01T18,CISO,California Independent System Operator,TI,Total interchange,-4088,megawatthours
2022-06-01T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21856,megawatthours
2022-06-01T18,CISO,California Independent System Operator,NG,Net generation,20701,megawatthours
2022-06-01T19,CISO,California Independent System Operator,D,Demand,24509,megawatthours
2022-06-01T19,CISO,California Independent System Operator,NG,Net generation,21587,megawatthours
2022-06-01T19,CISO,California Independent System Operator,TI,Total interchange,-3675,megawatthours
2022-06-01T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21817,megawatthours
2022-06-01T20,CISO,California Independent System Operator,D,Demand,25251,megawatthours
2022-06-01T20,CISO,California Independent System Operator,TI,Total interchange,-3553,megawatthours
2022-06-01T20,CISO,California Independent System Operator,NG,Net generation,21686,megawatthours
2022-06-01T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22322,megawatthours
2022-06-01T21,CISO,California Independent System Operator,D,Demand,26105,megawatthours
2022-06-01T21,CISO,California Independent System Operator,NG,Net generation,22503,megawatthours
2022-06-01T21,CISO,California Independent System Operator,TI,Total interchange,-4113,megawatthours
2022-06-01T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23504,megawatthours
2022-06-01T22,CISO,California Independent System Operator,D,Demand,27322,megawatthours
2022-06-01T22,CISO,California Independent System Operator,TI,Total interchange,-4322,megawatthours
2022-06-01T22,CISO,California Independent System Operator,NG,Net generation,23891,megawatthours
2022-06-01T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24962,megawatthours
2022-06-01T23,CISO,California Independent System Operator,D,Demand,28421,megawatthours
2022-06-01T23,CISO,California Independent System Operator,NG,Net generation,25128,megawatthours
2022-06-01T23,CISO,California Independent System Operator,TI,Total interchange,-4056,megawatthours
2022-06-01T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26747,megawatthours
