period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,unit,technology,energy_source_code,energy-source-desc,prime_mover_code,balancing_authority_code,balancing-authority-name,status,statusDescription,nameplate-capacity-mw,nameplate-capacity-mw-units
2021-06,CA,California,electric-utility,Electric Utility,57353,Plumas Sierra Rural Electric Coop,57977,High Sierra Cogeneration Plant,ENG2,,Natural Gas Internal Combustion Engine,NG,Natural Gas,IC,CISO,California Independent System Operator,OP,Operating,3.0,MW
2021-06,CA,California,electric-utility,Electric Utility,57353,Plumas Sierra Rural Electric Coop,63493,PSREC/SIAD Solar,SIAD,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,2.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,56635,Marsh Landing LLC,57267,Marsh Landing Generating Station,1,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,207.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,56635,Marsh Landing LLC,57267,Marsh Landing Generating Station,2,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,207.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,56635,Marsh Landing LLC,57267,Marsh Landing Generating Station,3,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,207.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,56635,Marsh Landing LLC,57267,Marsh Landing Generating Station,4,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,207.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,56555,FPL Energy Montezuma Wind,57201,FPL Energy Montezuma Winds LLC,S2.3,,Onshore Wind Turbine,WND,Wind,WT,CISO,California Independent System Operator,OP,Operating,36.8,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,56589,Bottle Rock Power LLC,902,Bottle Rock Power,1,,Geothermal,GEO,Geothermal,ST,CISO,California Independent System Operator,OS,Out of service and NOT expected to return to service in next calendar year,55.0,MW
2021-06,CA,California,commercial-chp,Commercial CHP,58171,University of California-San Francisco,58198,Parnassus Central Utility Plant,STG1,CC1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CA,CISO,California Independent System Operator,OP,Operating,3.8,MW
2021-06,CA,California,ipp-chp,IPP CHP,58549,County of Alameda GSA,58625,Santa Rita Jail Hybrid,SRFC2,,Other Natural Gas,NG,Natural Gas,FC,CISO,California Independent System Operator,OP,Operating,1.4,MW
2021-06,CA,California,ipp-chp,IPP CHP,58549,County of Alameda GSA,58625,Santa Rita Jail Hybrid,SRJBA,,Batteries,MWH,Electricity used for energy storage,BA,CISO,California Independent System Operator,OS,Out of service and NOT expected to return to service in next calendar year,2.0,MW
2021-06,CA,California,ipp-chp,IPP CHP,58549,County of Alameda GSA,58625,Santa Rita Jail Hybrid,SRPV2,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.0,MW
2021-06,CA,California,ipp-chp,IPP CHP,58549,County of Alameda GSA,58625,Santa Rita Jail Hybrid,SRPV3,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,0.5,MW
2021-06,CA,California,commercial-chp,Commercial CHP,58564,Paramount Group Inc,58607,One Market Plaza,1,,Natural Gas Internal Combustion Engine,NG,Natural Gas,IC,CISO,California Independent System Operator,OP,Operating,0.5,MW
