datetime,Grid Node To,Value,unit,Grid Node From,start_datetime,end_datetime
2022-08-01 05:00:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 05:00,2022-08-01 06:00
2022-08-01 05:00:00+00:00,IE,148.0,MW,UK-GB,2022-08-01 05:00,2022-08-01 06:00
2022-08-01 05:00:00+00:00,NL,-566.0,MW,UK-GB,2022-08-01 05:00,2022-08-01 06:00
2022-08-01 05:00:00+00:00,NO,-856.0,MW,UK-GB,2022-08-01 05:00,2022-08-01 06:00
2022-08-01 05:00:00+00:00,UK-NIR,198.0,MW,UK-GB,2022-08-01 05:00,2022-08-01 06:00
2022-08-01 05:30:00+00:00,BE,-198.0,MW,UK-GB,2022-08-01 05:30,2022-08-01 06:30
2022-08-01 05:30:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 05:30,2022-08-01 06:30
2022-08-01 05:30:00+00:00,IE,300.0,MW,UK-GB,2022-08-01 05:30,2022-08-01 06:30
2022-08-01 05:30:00+00:00,NL,-338.0,MW,UK-GB,2022-08-01 05:30,2022-08-01 06:30
2022-08-01 05:30:00+00:00,NO,-470.0,MW,UK-GB,2022-08-01 05:30,2022-08-01 06:30
2022-08-01 05:30:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 05:30,2022-08-01 06:30
2022-08-01 06:00:00+00:00,BE,-178.0,MW,UK-GB,2022-08-01 06:00,2022-08-01 07:00
2022-08-01 06:00:00+00:00,FR,-2034.0,MW,UK-GB,2022-08-01 06:00,2022-08-01 07:00
2022-08-01 06:00:00+00:00,IE,372.0,MW,UK-GB,2022-08-01 06:00,2022-08-01 07:00
2022-08-01 06:00:00+00:00,NL,-310.0,MW,UK-GB,2022-08-01 06:00,2022-08-01 07:00
2022-08-01 06:00:00+00:00,NO,-394.0,MW,UK-GB,2022-08-01 06:00,2022-08-01 07:00
2022-08-01 06:00:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 06:00,2022-08-01 07:00
2022-08-01 06:30:00+00:00,BE,-342.0,MW,UK-GB,2022-08-01 06:30,2022-08-01 07:30
2022-08-01 06:30:00+00:00,FR,-1424.0,MW,UK-GB,2022-08-01 06:30,2022-08-01 07:30
2022-08-01 06:30:00+00:00,IE,336.0,MW,UK-GB,2022-08-01 06:30,2022-08-01 07:30
2022-08-01 06:30:00+00:00,NL,494.0,MW,UK-GB,2022-08-01 06:30,2022-08-01 07:30
2022-08-01 06:30:00+00:00,NO,-22.0,MW,UK-GB,2022-08-01 06:30,2022-08-01 07:30
2022-08-01 06:30:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 06:30,2022-08-01 07:30
2022-08-01 07:00:00+00:00,BE,-344.0,MW,UK-GB,2022-08-01 07:00,2022-08-01 08:00
2022-08-01 07:00:00+00:00,FR,-1400.0,MW,UK-GB,2022-08-01 07:00,2022-08-01 08:00
2022-08-01 07:00:00+00:00,IE,334.0,MW,UK-GB,2022-08-01 07:00,2022-08-01 08:00
2022-08-01 07:00:00+00:00,NL,560.0,MW,UK-GB,2022-08-01 07:00,2022-08-01 08:00
2022-08-01 07:00:00+00:00,NO,62.0,MW,UK-GB,2022-08-01 07:00,2022-08-01 08:00
2022-08-01 07:00:00+00:00,UK-NIR,168.0,MW,UK-GB,2022-08-01 07:00,2022-08-01 08:00
2022-08-01 07:30:00+00:00,BE,-286.0,MW,UK-GB,2022-08-01 07:30,2022-08-01 08:30
2022-08-01 07:30:00+00:00,FR,-1404.0,MW,UK-GB,2022-08-01 07:30,2022-08-01 08:30
2022-08-01 07:30:00+00:00,IE,324.0,MW,UK-GB,2022-08-01 07:30,2022-08-01 08:30
2022-08-01 07:30:00+00:00,NL,788.0,MW,UK-GB,2022-08-01 07:30,2022-08-01 08:30
2022-08-01 07:30:00+00:00,NO,436.0,MW,UK-GB,2022-08-01 07:30,2022-08-01 08:30
2022-08-01 07:30:00+00:00,UK-NIR,96.0,MW,UK-GB,2022-08-01 07:30,2022-08-01 08:30
2022-08-01 08:00:00+00:00,BE,-272.0,MW,UK-GB,2022-08-01 08:00,2022-08-01 09:00
2022-08-01 08:00:00+00:00,FR,-1406.0,MW,UK-GB,2022-08-01 08:00,2022-08-01 09:00
2022-08-01 08:00:00+00:00,IE,334.0,MW,UK-GB,2022-08-01 08:00,2022-08-01 09:00
2022-08-01 08:00:00+00:00,NL,812.0,MW,UK-GB,2022-08-01 08:00,2022-08-01 09:00
2022-08-01 08:00:00+00:00,NO,482.0,MW,UK-GB,2022-08-01 08:00,2022-08-01 09:00
2022-08-01 08:00:00+00:00,UK-NIR,86.0,MW,UK-GB,2022-08-01 08:00,2022-08-01 09:00
2022-08-01 08:30:00+00:00,BE,238.0,MW,UK-GB,2022-08-01 08:30,2022-08-01 09:30
2022-08-01 08:30:00+00:00,FR,-1482.0,MW,UK-GB,2022-08-01 08:30,2022-08-01 09:30
2022-08-01 08:30:00+00:00,IE,288.0,MW,UK-GB,2022-08-01 08:30,2022-08-01 09:30
2022-08-01 08:30:00+00:00,NL,1002.0,MW,UK-GB,2022-08-01 08:30,2022-08-01 09:30
2022-08-01 08:30:00+00:00,NO,572.0,MW,UK-GB,2022-08-01 08:30,2022-08-01 09:30
2022-08-01 08:30:00+00:00,UK-NIR,38.0,MW,UK-GB,2022-08-01 08:30,2022-08-01 09:30
2022-08-01 09:00:00+00:00,BE,256.0,MW,UK-GB,2022-08-01 09:00,2022-08-01 10:00
