"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|ES","01.11.2022 06:45 - 01.11.2022 07:00 (UTC)","392","0","0","7912","264","88","0","0","0","","388","696","592","0","4992","12","88","60","236","0","3216"
"BZN|ES","01.11.2022 07:00 - 01.11.2022 07:15 (UTC)","408","0","0","7976","264","88","0","0","0","","500","712","544","0","4988","12","88","152","228","0","3176"
"BZN|ES","01.11.2022 07:15 - 01.11.2022 07:30 (UTC)","412","0","0","8540","264","88","0","0","0","","596","712","540","0","4988","12","92","508","232","0","3160"
"BZN|ES","01.11.2022 07:30 - 01.11.2022 07:45 (UTC)","404","0","0","8480","264","88","0","0","0","","600","700","516","0","4992","12","92","1196","228","0","3100"
"BZN|ES","01.11.2022 07:45 - 01.11.2022 08:00 (UTC)","400","0","0","7912","264","88","0","0","0","","672","696","484","0","4992","16","88","2132","232","0","3072"
"BZN|ES","01.11.2022 08:00 - 01.11.2022 08:15 (UTC)","408","0","0","7556","264","88","0","0","0","","1124","716","520","0","4992","12","88","3184","232","0","3080"
"BZN|ES","01.11.2022 08:15 - 01.11.2022 08:30 (UTC)","412","0","0","8216","264","88","0","0","0","","992","712","544","0","4988","12","88","4216","228","0","3024"
"BZN|ES","01.11.2022 08:30 - 01.11.2022 08:45 (UTC)","408","0","0","8268","264","88","0","0","0","","1260","712","508","0","4988","16","88","5140","228","0","2948"
"BZN|ES","01.11.2022 08:45 - 01.11.2022 09:00 (UTC)","412","0","0","8148","264","88","0","0","0","","1532","712","512","0","4988","16","88","5836","228","0","2816"
"BZN|ES","01.11.2022 09:00 - 01.11.2022 09:15 (UTC)","416","0","0","8068","264","88","0","0","0","","1768","704","532","0","4988","12","88","6312","228","0","2788"
"BZN|ES","01.11.2022 09:15 - 01.11.2022 09:30 (UTC)","404","0","0","7464","264","88","0","0","0","","2076","696","448","0","4988","12","88","6808","228","0","2904"
"BZN|ES","01.11.2022 09:30 - 01.11.2022 09:45 (UTC)","400","0","0","7288","264","88","0","0","0","","2308","692","452","0","4988","12","88","7180","224","0","2956"
"BZN|ES","01.11.2022 09:45 - 01.11.2022 10:00 (UTC)","400","0","0","6988","264","88","0","0","0","","2364","700","404","0","4988","12","88","7572","228","0","3032"
"BZN|ES","01.11.2022 10:00 - 01.11.2022 10:15 (UTC)","404","0","0","6752","264","88","0","0","0","","2412","696","392","0","4984","12","84","8012","228","0","3120"
"BZN|ES","01.11.2022 10:15 - 01.11.2022 10:30 (UTC)","396","0","0","6564","264","88","0","0","0","","2488","700","396","0","4980","12","84","8312","228","0","3272"
"BZN|ES","01.11.2022 10:30 - 01.11.2022 10:45 (UTC)","392","0","0","6508","264","84","0","0","0","","2688","704","368","0","4980","12","84","8612","228","0","3296"
"BZN|ES","01.11.2022 10:45 - 01.11.2022 11:00 (UTC)","400","0","0","6540","264","84","0","0","0","","2692","700","332","0","4980","12","84","8620","232","0","3252"
"BZN|ES","01.11.2022 11:00 - 01.11.2022 11:15 (UTC)","396","0","0","6448","264","84","0","0","0","","2692","688","328","0","4976","12","88","8784","228","0","3276"
"BZN|ES","01.11.2022 11:15 - 01.11.2022 11:30 (UTC)","412","0","0","6784","264","84","0","0","0","","2812","704","324","0","4976","12","84","9036","228","0","3076"
"BZN|ES","01.11.2022 11:30 - 01.11.2022 11:45 (UTC)","420","0","0","6996","264","84","0","0","0","","2888","692","320","0","4972","12","84","8948","228","0","3192"
"BZN|ES","01.11.2022 11:45 - 01.11.2022 12:00 (UTC)","424","0","0","7044","264","84","0","0","0","","2888","696","312","0","4976","12","84","9024","232","0","3332"
"BZN|ES","01.11.2022 12:00 - 01.11.2022 12:15 (UTC)","408","0","0","6788","264","84","0","0","0","","2892","676","300","0","4984","12","84","9312","228","0","3432"
"BZN|ES","01.11.2022 12:15 - 01.11.2022 12:30 (UTC)","408","0","0","6588","264","84","0","0","0","","2912","676","308","0","4984","12","80","9356","232","0","3468"
"BZN|ES","01.11.2022 12:30 - 01.11.2022 12:45 (UTC)","416","0","0","6724","264","84","0","0","0","","2936","692","312","0","4984","12","80","9224","228","0","3440"
"BZN|ES","01.11.2022 12:45 - 01.11.2022 13:00 (UTC)","416","0","0","6980","264","84","0","0","0","","2936","696","312","0","4984","12","80","9224","228","0","3404"
"BZN|ES","01.11.2022 13:00 - 01.11.2022 13:15 (UTC)","420","0","0","7084","264","84","0","0","0","","2936","696","312","0","4984","12","80","9264","228","0","3304"
"BZN|ES","01.11.2022 13:15 - 01.11.2022 13:30 (UTC)","416","0","0","7116","252","84","0","0","0","","2932","684","316","0","4984","12","84","9124","232","0","3716"
"BZN|ES","01.11.2022 13:30 - 01.11.2022 13:45 (UTC)","416","0","0","7004","248","84","0","0","0","","2928","676","312","0","4984","12","80","9140","228","0","3852"
"BZN|ES","01.11.2022 13:45 - 01.11.2022 14:00 (UTC)","412","0","0","6812","248","84","0","0","0","","2924","668","304","0","4984","12","80","9072","228","0","3760"
