datetime,Grid Node From,Grid Node To,Value,unit
2021-06-01 19:00,US-WECC-CISO,US-WECC-SRP,-835,MWh
2021-06-01 19:00,US-WECC-CISO,US-WECC-PACW,8,MWh
2021-06-01 19:00,US-WECC-CISO,US-WECC-BANC,-441,MWh
2021-06-01 19:00,US-WECC-CISO,US-WECC-LDWP,-104,MWh
2021-06-01 19:00,US-WECC-CISO,US-WECC-IID,-482,MWh
2021-06-01 19:00,US-WECC-CISO,MX,39,MWh
2021-06-01 19:00,US-WECC-CISO,US-WECC-BPAT,-800,MWh
2021-06-01 19:00,US-WECC-CISO,US-WECC-NEVP,-703,MWh
2021-06-01 20:00,US-WECC-CISO,US-WECC-BPAT,-563,MWh
2021-06-01 20:00,US-WECC-CISO,MX,42,MWh
2021-06-01 20:00,US-WECC-CISO,US-WECC-IID,-424,MWh
2021-06-01 20:00,US-WECC-CISO,US-WECC-LDWP,-160,MWh
2021-06-01 20:00,US-WECC-CISO,US-WECC-NEVP,-671,MWh
2021-06-01 20:00,US-WECC-CISO,US-WECC-BANC,-411,MWh
2021-06-01 20:00,US-WECC-CISO,US-WECC-SRP,-799,MWh
2021-06-01 20:00,US-WECC-CISO,US-WECC-TIDC,517,MWh
2021-06-01 20:00,US-WECC-CISO,US-WECC-WALC,352,MWh
2021-06-01 20:00,US-WECC-CISO,US-WECC-AZPS,-440,MWh
2021-06-01 20:00,US-WECC-CISO,US-WECC-PACW,15,MWh
2021-06-01 21:00,US-WECC-CISO,US-WECC-BPAT,-573,MWh
2021-06-01 21:00,US-WECC-CISO,MX,92,MWh
2021-06-01 21:00,US-WECC-CISO,US-WECC-IID,-391,MWh
2021-06-01 21:00,US-WECC-CISO,US-WECC-LDWP,-190,MWh
2021-06-01 21:00,US-WECC-CISO,US-WECC-NEVP,-692,MWh
2021-06-01 21:00,US-WECC-CISO,US-WECC-PACW,17,MWh
2021-06-01 21:00,US-WECC-CISO,US-WECC-SRP,-898,MWh
2021-06-01 21:00,US-WECC-CISO,US-WECC-TIDC,521,MWh
2021-06-01 21:00,US-WECC-CISO,US-WECC-WALC,353,MWh
2021-06-01 21:00,US-WECC-CISO,US-WECC-AZPS,-480,MWh
2021-06-01 21:00,US-WECC-CISO,US-WECC-BANC,-49,MWh
2021-06-01 22:00,US-WECC-CISO,US-WECC-AZPS,-439,MWh
2021-06-01 22:00,US-WECC-CISO,US-WECC-WALC,260,MWh
2021-06-01 22:00,US-WECC-CISO,US-WECC-BANC,-276,MWh
