datetime,Grid Node From,Grid Node To,Value,unit
2021-06-01 07:00,US-WECC-CISO,US-WECC-TIDC,238,MWh
2021-06-01 07:00,US-WECC-CISO,US-WECC-WALC,-235,MWh
2021-06-01 07:00,US-WECC-CISO,US-WECC-AZPS,-920,MWh
2021-06-01 07:00,US-WECC-CISO,US-WECC-BANC,-599,MWh
2021-06-01 08:00,US-WECC-CISO,US-WECC-AZPS,-821,MWh
2021-06-01 08:00,US-WECC-CISO,US-WECC-WALC,-164,MWh
2021-06-01 08:00,US-WECC-CISO,US-WECC-BANC,-1013,MWh
2021-06-01 08:00,US-WECC-CISO,US-WECC-BPAT,-1245,MWh
2021-06-01 08:00,US-WECC-CISO,MX,31,MWh
2021-06-01 08:00,US-WECC-CISO,US-WECC-IID,-232,MWh
2021-06-01 08:00,US-WECC-CISO,US-WECC-LDWP,-1567,MWh
2021-06-01 08:00,US-WECC-CISO,US-WECC-NEVP,-909,MWh
2021-06-01 08:00,US-WECC-CISO,US-WECC-PACW,-3,MWh
2021-06-01 08:00,US-WECC-CISO,US-WECC-SRP,-1763,MWh
2021-06-01 08:00,US-WECC-CISO,US-WECC-TIDC,168,MWh
2021-06-01 09:00,US-WECC-CISO,US-WECC-AZPS,-878,MWh
2021-06-01 09:00,US-WECC-CISO,US-WECC-BPAT,-1239,MWh
2021-06-01 09:00,US-WECC-CISO,MX,49,MWh
2021-06-01 09:00,US-WECC-CISO,US-WECC-IID,-270,MWh
2021-06-01 09:00,US-WECC-CISO,US-WECC-LDWP,-1474,MWh
2021-06-01 09:00,US-WECC-CISO,US-WECC-BANC,-925,MWh
2021-06-01 09:00,US-WECC-CISO,US-WECC-PACW,-7,MWh
2021-06-01 09:00,US-WECC-CISO,US-WECC-SRP,-1812,MWh
2021-06-01 09:00,US-WECC-CISO,US-WECC-TIDC,114,MWh
2021-06-01 09:00,US-WECC-CISO,US-WECC-WALC,-144,MWh
2021-06-01 09:00,US-WECC-CISO,US-WECC-NEVP,-940,MWh
2021-06-01 10:00,US-WECC-CISO,US-WECC-AZPS,-898,MWh
2021-06-01 10:00,US-WECC-CISO,US-WECC-WALC,-137,MWh
2021-06-01 10:00,US-WECC-CISO,US-WECC-BANC,-852,MWh
2021-06-01 10:00,US-WECC-CISO,US-WECC-BPAT,-1170,MWh
2021-06-01 10:00,US-WECC-CISO,MX,41,MWh
2021-06-01 10:00,US-WECC-CISO,US-WECC-IID,-276,MWh
2021-06-01 10:00,US-WECC-CISO,US-WECC-LDWP,-1575,MWh
2021-06-01 10:00,US-WECC-CISO,US-WECC-NEVP,-999,MWh
2021-06-01 10:00,US-WECC-CISO,US-WECC-PACW,-6,MWh
2021-06-01 10:00,US-WECC-CISO,US-WECC-SRP,-1840,MWh
2021-06-01 10:00,US-WECC-CISO,US-WECC-TIDC,93,MWh
2021-06-01 11:00,US-WECC-CISO,US-WECC-AZPS,-885,MWh
2021-06-01 11:00,US-WECC-CISO,US-WECC-BPAT,-1100,MWh
2021-06-01 11:00,US-WECC-CISO,MX,23,MWh
2021-06-01 11:00,US-WECC-CISO,US-WECC-IID,-292,MWh
2021-06-01 11:00,US-WECC-CISO,US-WECC-LDWP,-1625,MWh
2021-06-01 11:00,US-WECC-CISO,US-WECC-BANC,-856,MWh
2021-06-01 11:00,US-WECC-CISO,US-WECC-PACW,-5,MWh
2021-06-01 11:00,US-WECC-CISO,US-WECC-SRP,-1817,MWh
2021-06-01 11:00,US-WECC-CISO,US-WECC-TIDC,85,MWh
2021-06-01 11:00,US-WECC-CISO,US-WECC-WALC,-129,MWh
2021-06-01 11:00,US-WECC-CISO,US-WECC-NEVP,-1007,MWh
2021-06-01 12:00,US-WECC-CISO,US-WECC-AZPS,-865,MWh
2021-06-01 12:00,US-WECC-CISO,US-WECC-WALC,-117,MWh
2021-06-01 12:00,US-WECC-CISO,US-WECC-TIDC,37,MWh
2021-06-01 12:00,US-WECC-CISO,US-WECC-SRP,-1871,MWh
2021-06-01 12:00,US-WECC-CISO,US-WECC-PACW,-4,MWh
2021-06-01 12:00,US-WECC-CISO,US-WECC-NEVP,-1032,MWh
2021-06-01 12:00,US-WECC-CISO,US-WECC-LDWP,-1459,MWh
2021-06-01 12:00,US-WECC-CISO,US-WECC-IID,-300,MWh
2021-06-01 12:00,US-WECC-CISO,MX,-27,MWh
2021-06-01 12:00,US-WECC-CISO,US-WECC-BPAT,-1065,MWh
2021-06-01 12:00,US-WECC-CISO,US-WECC-BANC,-936,MWh
