nationalBoundaryIdentifier,settlementDate,settlementPeriod,recordType,publishingPeriodCommencingTime,demand,activeFlag,spnDemand,spnGeneration
N,2022-01-02,28,DANF,2022-01-02 13:15:00,27895,Y,,
N,2022-01-02,29,DANF,2022-01-02 13:45:00,28206,Y,,
N,2022-01-02,30,DANF,2022-01-02 14:15:00,28550,Y,,
N,2022-01-02,31,DANF,2022-01-02 14:45:00,29323,Y,,
N,2022-01-02,32,DANF,2022-01-02 15:15:00,30109,Y,,
N,2022-01-02,33,DANF,2022-01-02 15:45:00,31724,Y,,
N,2022-01-02,34,DANF,2022-01-02 16:15:00,33241,Y,,
N,2022-01-02,35,DANF,2022-01-02 16:45:00,33800,Y,,
N,2022-01-02,36,DANF,2022-01-02 17:15:00,33569,Y,,
N,2022-01-02,37,DANF,2022-01-02 17:45:00,32868,Y,,
N,2022-01-02,38,DANF,2022-01-02 18:15:00,31681,Y,,
N,2022-01-02,39,DANF,2022-01-02 18:45:00,30358,Y,,
N,2022-01-02,40,DANF,2022-01-02 19:15:00,29058,Y,,
N,2022-01-02,41,DANF,2022-01-02 19:45:00,28144,Y,,
N,2022-01-02,42,DANF,2022-01-02 20:15:00,26900,Y,,
N,2022-01-02,43,DANF,2022-01-02 20:45:00,25599,Y,,
N,2022-01-02,44,DANF,2022-01-02 21:15:00,24283,Y,,
N,2022-01-02,45,DANF,2022-01-02 21:45:00,23001,Y,,
N,2022-01-02,46,DANF,2022-01-02 22:15:00,21613,Y,,
N,2022-01-02,47,DANF,2022-01-02 22:45:00,20296,Y,,
N,2022-01-02,48,DANF,2022-01-02 23:15:00,19250,Y,,
N,2022-01-01,1,DAID,2021-12-31 23:45:00,,Y,-21580,
N,2022-01-01,2,DAID,2022-01-01 00:15:00,,Y,-21384,
N,2022-01-01,3,DAID,2022-01-01 00:45:00,,Y,-21566,
N,2022-01-01,4,DAID,2022-01-01 01:15:00,,Y,-21680,
N,2022-01-01,5,DAID,2022-01-01 01:45:00,,Y,-23221,
N,2022-01-01,6,DAID,2022-01-01 02:15:00,,Y,-22690,
N,2022-01-01,7,DAID,2022-01-01 02:45:00,,Y,-23131,
N,2022-01-01,8,DAID,2022-01-01 03:15:00,,Y,-22717,
N,2022-01-01,9,DAID,2022-01-01 03:45:00,,Y,-22987,
N,2022-01-01,10,DAID,2022-01-01 04:15:00,,Y,-22785,
N,2022-01-01,11,DAID,2022-01-01 04:45:00,,Y,-22889,
N,2022-01-01,12,DAID,2022-01-01 05:15:00,,Y,-23194,
N,2022-01-01,13,DAID,2022-01-01 05:45:00,,Y,-25133,
N,2022-01-01,14,DAID,2022-01-01 06:15:00,,Y,-25684,
N,2022-01-01,15,DAID,2022-01-01 06:45:00,,Y,-25766,
N,2022-01-01,16,DAID,2022-01-01 07:15:00,,Y,-25705,
N,2022-01-01,17,DAID,2022-01-01 07:45:00,,Y,-25693,
N,2022-01-01,18,DAID,2022-01-01 08:15:00,,Y,-25875,
N,2022-01-01,19,DAID,2022-01-01 08:15:00,,Y,-25841,
N,2022-01-01,20,DAID,2022-01-01 09:15:00,,Y,-26476,
N,2022-01-01,21,DAID,2022-01-01 09:45:00,,Y,-26257,
N,2022-01-01,22,DAID,2022-01-01 10:15:00,,Y,-26705,
