DocumentType,BusinessType,ProcessType,TimeSeriesID,Quantity,CurveType,Resolution,SettlementDate,SettlementPeriod,PowerSystemResourceType,ActiveFlag,DocumentID,DocumentRevNum,datetime
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904701,6276.275,Sequential fixed size block,PT30M,2022-01-01,37,Wind Offshore,Y,NGET-EMFIP-AGPT-06398895,1,2022-01-01 18:30:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904700,0.0,Sequential fixed size block,PT30M,2022-01-01,37,Solar,Y,NGET-EMFIP-AGPT-06398895,1,2022-01-01 18:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904699,1727.0,Sequential fixed size block,PT30M,2022-01-01,36,Biomass,Y,NGET-EMFIP-AGPT-06398894,1,2022-01-01 18:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904698,2034.0,Sequential fixed size block,PT30M,2022-01-01,36,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398894,1,2022-01-01 18:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904697,408.0,Sequential fixed size block,PT30M,2022-01-01,36,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398894,1,2022-01-01 18:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904696,0.0,Sequential fixed size block,PT30M,2022-01-01,36,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398894,1,2022-01-01 18:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904695,5402.0,Sequential fixed size block,PT30M,2022-01-01,36,Fossil Gas,Y,NGET-EMFIP-AGPT-06398894,1,2022-01-01 18:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904694,0.0,Sequential fixed size block,PT30M,2022-01-01,36,Fossil Oil,Y,NGET-EMFIP-AGPT-06398894,1,2022-01-01 18:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904693,6803.0,Sequential fixed size block,PT30M,2022-01-01,36,Nuclear,Y,NGET-EMFIP-AGPT-06398894,1,2022-01-01 18:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904692,378.0,Sequential fixed size block,PT30M,2022-01-01,36,Other,Y,NGET-EMFIP-AGPT-06398894,1,2022-01-01 18:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904691,5634.068,Sequential fixed size block,PT30M,2022-01-01,36,Wind Onshore,Y,NGET-EMFIP-AGPT-06398894,1,2022-01-01 18:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904690,6523.595,Sequential fixed size block,PT30M,2022-01-01,36,Wind Offshore,Y,NGET-EMFIP-AGPT-06398894,1,2022-01-01 18:00:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904689,0.0,Sequential fixed size block,PT30M,2022-01-01,36,Solar,Y,NGET-EMFIP-AGPT-06398894,1,2022-01-01 18:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904688,1704.0,Sequential fixed size block,PT30M,2022-01-01,35,Biomass,Y,NGET-EMFIP-AGPT-06398893,1,2022-01-01 17:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904687,2034.0,Sequential fixed size block,PT30M,2022-01-01,35,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398893,1,2022-01-01 17:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904686,384.0,Sequential fixed size block,PT30M,2022-01-01,35,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398893,1,2022-01-01 17:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904685,0.0,Sequential fixed size block,PT30M,2022-01-01,35,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398893,1,2022-01-01 17:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904684,5372.0,Sequential fixed size block,PT30M,2022-01-01,35,Fossil Gas,Y,NGET-EMFIP-AGPT-06398893,1,2022-01-01 17:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904683,0.0,Sequential fixed size block,PT30M,2022-01-01,35,Fossil Oil,Y,NGET-EMFIP-AGPT-06398893,1,2022-01-01 17:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904682,6796.0,Sequential fixed size block,PT30M,2022-01-01,35,Nuclear,Y,NGET-EMFIP-AGPT-06398893,1,2022-01-01 17:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904681,343.0,Sequential fixed size block,PT30M,2022-01-01,35,Other,Y,NGET-EMFIP-AGPT-06398893,1,2022-01-01 17:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904680,5575.99,Sequential fixed size block,PT30M,2022-01-01,35,Wind Onshore,Y,NGET-EMFIP-AGPT-06398893,1,2022-01-01 17:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904679,6609.586,Sequential fixed size block,PT30M,2022-01-01,35,Wind Offshore,Y,NGET-EMFIP-AGPT-06398893,1,2022-01-01 17:30:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904678,2.0,Sequential fixed size block,PT30M,2022-01-01,35,Solar,Y,NGET-EMFIP-AGPT-06398893,1,2022-01-01 17:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904677,1536.0,Sequential fixed size block,PT30M,2022-01-01,34,Biomass,Y,NGET-EMFIP-AGPT-06398892,1,2022-01-01 17:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904676,1861.0,Sequential fixed size block,PT30M,2022-01-01,34,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398892,1,2022-01-01 17:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904675,348.0,Sequential fixed size block,PT30M,2022-01-01,34,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398892,1,2022-01-01 17:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904674,0.0,Sequential fixed size block,PT30M,2022-01-01,34,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398892,1,2022-01-01 17:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904673,5573.0,Sequential fixed size block,PT30M,2022-01-01,34,Fossil Gas,Y,NGET-EMFIP-AGPT-06398892,1,2022-01-01 17:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904672,0.0,Sequential fixed size block,PT30M,2022-01-01,34,Fossil Oil,Y,NGET-EMFIP-AGPT-06398892,1,2022-01-01 17:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904671,6795.0,Sequential fixed size block,PT30M,2022-01-01,34,Nuclear,Y,NGET-EMFIP-AGPT-06398892,1,2022-01-01 17:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904670,218.0,Sequential fixed size block,PT30M,2022-01-01,34,Other,Y,NGET-EMFIP-AGPT-06398892,1,2022-01-01 17:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904669,5610.36,Sequential fixed size block,PT30M,2022-01-01,34,Wind Onshore,Y,NGET-EMFIP-AGPT-06398892,1,2022-01-01 17:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904668,7017.262,Sequential fixed size block,PT30M,2022-01-01,34,Wind Offshore,Y,NGET-EMFIP-AGPT-06398892,1,2022-01-01 17:00:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904667,0.0,Sequential fixed size block,PT30M,2022-01-01,34,Solar,Y,NGET-EMFIP-AGPT-06398892,1,2022-01-01 17:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904666,1484.0,Sequential fixed size block,PT30M,2022-01-01,33,Biomass,Y,NGET-EMFIP-AGPT-06398891,1,2022-01-01 16:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904665,1257.0,Sequential fixed size block,PT30M,2022-01-01,33,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398891,1,2022-01-01 16:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904664,349.0,Sequential fixed size block,PT30M,2022-01-01,33,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398891,1,2022-01-01 16:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904663,0.0,Sequential fixed size block,PT30M,2022-01-01,33,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398891,1,2022-01-01 16:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904662,4821.0,Sequential fixed size block,PT30M,2022-01-01,33,Fossil Gas,Y,NGET-EMFIP-AGPT-06398891,1,2022-01-01 16:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904661,0.0,Sequential fixed size block,PT30M,2022-01-01,33,Fossil Oil,Y,NGET-EMFIP-AGPT-06398891,1,2022-01-01 16:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904660,6793.0,Sequential fixed size block,PT30M,2022-01-01,33,Nuclear,Y,NGET-EMFIP-AGPT-06398891,1,2022-01-01 16:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904659,156.0,Sequential fixed size block,PT30M,2022-01-01,33,Other,Y,NGET-EMFIP-AGPT-06398891,1,2022-01-01 16:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904658,5432.857,Sequential fixed size block,PT30M,2022-01-01,33,Wind Onshore,Y,NGET-EMFIP-AGPT-06398891,1,2022-01-01 16:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904657,7002.273,Sequential fixed size block,PT30M,2022-01-01,33,Wind Offshore,Y,NGET-EMFIP-AGPT-06398891,1,2022-01-01 16:30:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904656,0.0,Sequential fixed size block,PT30M,2022-01-01,33,Solar,Y,NGET-EMFIP-AGPT-06398891,1,2022-01-01 16:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904655,1390.0,Sequential fixed size block,PT30M,2022-01-01,32,Biomass,Y,NGET-EMFIP-AGPT-06398890,1,2022-01-01 16:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904654,600.0,Sequential fixed size block,PT30M,2022-01-01,32,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398890,1,2022-01-01 16:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904653,390.0,Sequential fixed size block,PT30M,2022-01-01,32,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398890,1,2022-01-01 16:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904652,0.0,Sequential fixed size block,PT30M,2022-01-01,32,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398890,1,2022-01-01 16:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904651,4089.0,Sequential fixed size block,PT30M,2022-01-01,32,Fossil Gas,Y,NGET-EMFIP-AGPT-06398890,1,2022-01-01 16:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904650,0.0,Sequential fixed size block,PT30M,2022-01-01,32,Fossil Oil,Y,NGET-EMFIP-AGPT-06398890,1,2022-01-01 16:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904649,6791.0,Sequential fixed size block,PT30M,2022-01-01,32,Nuclear,Y,NGET-EMFIP-AGPT-06398890,1,2022-01-01 16:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904648,138.0,Sequential fixed size block,PT30M,2022-01-01,32,Other,Y,NGET-EMFIP-AGPT-06398890,1,2022-01-01 16:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904647,5650.434,Sequential fixed size block,PT30M,2022-01-01,32,Wind Onshore,Y,NGET-EMFIP-AGPT-06398890,1,2022-01-01 16:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904646,6650.242,Sequential fixed size block,PT30M,2022-01-01,32,Wind Offshore,Y,NGET-EMFIP-AGPT-06398890,1,2022-01-01 16:00:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904645,24.0,Sequential fixed size block,PT30M,2022-01-01,32,Solar,Y,NGET-EMFIP-AGPT-06398890,1,2022-01-01 16:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904644,1508.0,Sequential fixed size block,PT30M,2022-01-01,31,Biomass,Y,NGET-EMFIP-AGPT-06398889,1,2022-01-01 15:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904643,571.0,Sequential fixed size block,PT30M,2022-01-01,31,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398889,1,2022-01-01 15:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904642,320.0,Sequential fixed size block,PT30M,2022-01-01,31,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398889,1,2022-01-01 15:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904641,0.0,Sequential fixed size block,PT30M,2022-01-01,31,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398889,1,2022-01-01 15:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904640,3614.0,Sequential fixed size block,PT30M,2022-01-01,31,Fossil Gas,Y,NGET-EMFIP-AGPT-06398889,1,2022-01-01 15:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904639,0.0,Sequential fixed size block,PT30M,2022-01-01,31,Fossil Oil,Y,NGET-EMFIP-AGPT-06398889,1,2022-01-01 15:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904638,6800.0,Sequential fixed size block,PT30M,2022-01-01,31,Nuclear,Y,NGET-EMFIP-AGPT-06398889,1,2022-01-01 15:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904637,135.0,Sequential fixed size block,PT30M,2022-01-01,31,Other,Y,NGET-EMFIP-AGPT-06398889,1,2022-01-01 15:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904636,6051.335,Sequential fixed size block,PT30M,2022-01-01,31,Wind Onshore,Y,NGET-EMFIP-AGPT-06398889,1,2022-01-01 15:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904635,6823.508,Sequential fixed size block,PT30M,2022-01-01,31,Wind Offshore,Y,NGET-EMFIP-AGPT-06398889,1,2022-01-01 15:30:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904634,166.0,Sequential fixed size block,PT30M,2022-01-01,31,Solar,Y,NGET-EMFIP-AGPT-06398889,1,2022-01-01 15:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904633,1707.0,Sequential fixed size block,PT30M,2022-01-01,30,Biomass,Y,NGET-EMFIP-AGPT-06398888,1,2022-01-01 15:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904632,307.0,Sequential fixed size block,PT30M,2022-01-01,30,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398888,1,2022-01-01 15:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904631,236.0,Sequential fixed size block,PT30M,2022-01-01,30,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398888,1,2022-01-01 15:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904630,0.0,Sequential fixed size block,PT30M,2022-01-01,30,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398888,1,2022-01-01 15:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904629,3550.0,Sequential fixed size block,PT30M,2022-01-01,30,Fossil Gas,Y,NGET-EMFIP-AGPT-06398888,1,2022-01-01 15:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904628,0.0,Sequential fixed size block,PT30M,2022-01-01,30,Fossil Oil,Y,NGET-EMFIP-AGPT-06398888,1,2022-01-01 15:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904627,6798.0,Sequential fixed size block,PT30M,2022-01-01,30,Nuclear,Y,NGET-EMFIP-AGPT-06398888,1,2022-01-01 15:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904626,158.0,Sequential fixed size block,PT30M,2022-01-01,30,Other,Y,NGET-EMFIP-AGPT-06398888,1,2022-01-01 15:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904625,6168.184,Sequential fixed size block,PT30M,2022-01-01,30,Wind Onshore,Y,NGET-EMFIP-AGPT-06398888,1,2022-01-01 15:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904624,6945.418,Sequential fixed size block,PT30M,2022-01-01,30,Wind Offshore,Y,NGET-EMFIP-AGPT-06398888,1,2022-01-01 15:00:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904623,411.0,Sequential fixed size block,PT30M,2022-01-01,30,Solar,Y,NGET-EMFIP-AGPT-06398888,1,2022-01-01 15:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904622,1678.0,Sequential fixed size block,PT30M,2022-01-01,29,Biomass,Y,NGET-EMFIP-AGPT-06398887,1,2022-01-01 14:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904621,456.0,Sequential fixed size block,PT30M,2022-01-01,29,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398887,1,2022-01-01 14:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904620,236.0,Sequential fixed size block,PT30M,2022-01-01,29,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398887,1,2022-01-01 14:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904619,0.0,Sequential fixed size block,PT30M,2022-01-01,29,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398887,1,2022-01-01 14:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904618,3451.0,Sequential fixed size block,PT30M,2022-01-01,29,Fossil Gas,Y,NGET-EMFIP-AGPT-06398887,1,2022-01-01 14:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904617,0.0,Sequential fixed size block,PT30M,2022-01-01,29,Fossil Oil,Y,NGET-EMFIP-AGPT-06398887,1,2022-01-01 14:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904616,6800.0,Sequential fixed size block,PT30M,2022-01-01,29,Nuclear,Y,NGET-EMFIP-AGPT-06398887,1,2022-01-01 14:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904615,174.0,Sequential fixed size block,PT30M,2022-01-01,29,Other,Y,NGET-EMFIP-AGPT-06398887,1,2022-01-01 14:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904614,6250.486,Sequential fixed size block,PT30M,2022-01-01,29,Wind Onshore,Y,NGET-EMFIP-AGPT-06398887,1,2022-01-01 14:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904613,7023.673,Sequential fixed size block,PT30M,2022-01-01,29,Wind Offshore,Y,NGET-EMFIP-AGPT-06398887,1,2022-01-01 14:30:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904612,745.0,Sequential fixed size block,PT30M,2022-01-01,29,Solar,Y,NGET-EMFIP-AGPT-06398887,1,2022-01-01 14:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904611,1678.0,Sequential fixed size block,PT30M,2022-01-01,28,Biomass,Y,NGET-EMFIP-AGPT-06398886,1,2022-01-01 14:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904610,242.0,Sequential fixed size block,PT30M,2022-01-01,28,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398886,1,2022-01-01 14:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904609,236.0,Sequential fixed size block,PT30M,2022-01-01,28,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398886,1,2022-01-01 14:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904608,0.0,Sequential fixed size block,PT30M,2022-01-01,28,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398886,1,2022-01-01 14:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904607,3422.0,Sequential fixed size block,PT30M,2022-01-01,28,Fossil Gas,Y,NGET-EMFIP-AGPT-06398886,1,2022-01-01 14:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904606,0.0,Sequential fixed size block,PT30M,2022-01-01,28,Fossil Oil,Y,NGET-EMFIP-AGPT-06398886,1,2022-01-01 14:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904605,6799.0,Sequential fixed size block,PT30M,2022-01-01,28,Nuclear,Y,NGET-EMFIP-AGPT-06398886,1,2022-01-01 14:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904604,134.0,Sequential fixed size block,PT30M,2022-01-01,28,Other,Y,NGET-EMFIP-AGPT-06398886,1,2022-01-01 14:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904603,6362.692,Sequential fixed size block,PT30M,2022-01-01,28,Wind Onshore,Y,NGET-EMFIP-AGPT-06398886,1,2022-01-01 14:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904602,6446.194,Sequential fixed size block,PT30M,2022-01-01,28,Wind Offshore,Y,NGET-EMFIP-AGPT-06398886,1,2022-01-01 14:00:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904601,978.0,Sequential fixed size block,PT30M,2022-01-01,28,Solar,Y,NGET-EMFIP-AGPT-06398886,1,2022-01-01 14:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904600,1677.0,Sequential fixed size block,PT30M,2022-01-01,27,Biomass,Y,NGET-EMFIP-AGPT-06398885,1,2022-01-01 13:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904599,290.0,Sequential fixed size block,PT30M,2022-01-01,27,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398885,1,2022-01-01 13:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904598,261.0,Sequential fixed size block,PT30M,2022-01-01,27,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398885,1,2022-01-01 13:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904597,0.0,Sequential fixed size block,PT30M,2022-01-01,27,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398885,1,2022-01-01 13:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904596,3213.0,Sequential fixed size block,PT30M,2022-01-01,27,Fossil Gas,Y,NGET-EMFIP-AGPT-06398885,1,2022-01-01 13:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904595,0.0,Sequential fixed size block,PT30M,2022-01-01,27,Fossil Oil,Y,NGET-EMFIP-AGPT-06398885,1,2022-01-01 13:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904594,6798.0,Sequential fixed size block,PT30M,2022-01-01,27,Nuclear,Y,NGET-EMFIP-AGPT-06398885,1,2022-01-01 13:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904593,399.0,Sequential fixed size block,PT30M,2022-01-01,27,Other,Y,NGET-EMFIP-AGPT-06398885,1,2022-01-01 13:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904592,6536.823,Sequential fixed size block,PT30M,2022-01-01,27,Wind Onshore,Y,NGET-EMFIP-AGPT-06398885,1,2022-01-01 13:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904591,6605.389,Sequential fixed size block,PT30M,2022-01-01,27,Wind Offshore,Y,NGET-EMFIP-AGPT-06398885,1,2022-01-01 13:30:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904590,1130.0,Sequential fixed size block,PT30M,2022-01-01,27,Solar,Y,NGET-EMFIP-AGPT-06398885,1,2022-01-01 13:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904589,1673.0,Sequential fixed size block,PT30M,2022-01-01,26,Biomass,Y,NGET-EMFIP-AGPT-06398884,1,2022-01-01 13:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904588,421.0,Sequential fixed size block,PT30M,2022-01-01,26,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398884,1,2022-01-01 13:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904587,270.0,Sequential fixed size block,PT30M,2022-01-01,26,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398884,1,2022-01-01 13:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904586,0.0,Sequential fixed size block,PT30M,2022-01-01,26,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398884,1,2022-01-01 13:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904585,3434.0,Sequential fixed size block,PT30M,2022-01-01,26,Fossil Gas,Y,NGET-EMFIP-AGPT-06398884,1,2022-01-01 13:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904584,0.0,Sequential fixed size block,PT30M,2022-01-01,26,Fossil Oil,Y,NGET-EMFIP-AGPT-06398884,1,2022-01-01 13:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904583,6809.0,Sequential fixed size block,PT30M,2022-01-01,26,Nuclear,Y,NGET-EMFIP-AGPT-06398884,1,2022-01-01 13:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904582,269.0,Sequential fixed size block,PT30M,2022-01-01,26,Other,Y,NGET-EMFIP-AGPT-06398884,1,2022-01-01 13:00:00+00:00
