DocumentType,BusinessType,ProcessType,TimeSeriesID,Quantity,CurveType,Resolution,SettlementDate,SettlementPeriod,PowerSystemResourceType,ActiveFlag,DocumentID,DocumentRevNum,datetime
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904797,404.0,Sequential fixed size block,PT30M,2022-01-01,45,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904796,271.0,Sequential fixed size block,PT30M,2022-01-01,45,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904795,0.0,Sequential fixed size block,PT30M,2022-01-01,45,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904794,2983.0,Sequential fixed size block,PT30M,2022-01-01,45,Fossil Gas,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904793,0.0,Sequential fixed size block,PT30M,2022-01-01,45,Fossil Oil,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904792,6788.0,Sequential fixed size block,PT30M,2022-01-01,45,Nuclear,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904791,153.0,Sequential fixed size block,PT30M,2022-01-01,45,Other,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904790,5658.911,Sequential fixed size block,PT30M,2022-01-01,45,Wind Onshore,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904789,5756.591,Sequential fixed size block,PT30M,2022-01-01,45,Wind Offshore,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904788,0.0,Sequential fixed size block,PT30M,2022-01-01,45,Solar,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904787,1465.0,Sequential fixed size block,PT30M,2022-01-01,44,Biomass,Y,NGET-EMFIP-AGPT-06398902,1,2022-01-01 22:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904786,118.0,Sequential fixed size block,PT30M,2022-01-01,44,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398902,1,2022-01-01 22:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904785,311.0,Sequential fixed size block,PT30M,2022-01-01,44,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398902,1,2022-01-01 22:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904784,0.0,Sequential fixed size block,PT30M,2022-01-01,44,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398902,1,2022-01-01 22:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904783,3046.0,Sequential fixed size block,PT30M,2022-01-01,44,Fossil Gas,Y,NGET-EMFIP-AGPT-06398902,1,2022-01-01 22:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904782,0.0,Sequential fixed size block,PT30M,2022-01-01,44,Fossil Oil,Y,NGET-EMFIP-AGPT-06398902,1,2022-01-01 22:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904781,6788.0,Sequential fixed size block,PT30M,2022-01-01,44,Nuclear,Y,NGET-EMFIP-AGPT-06398902,1,2022-01-01 22:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904780,183.0,Sequential fixed size block,PT30M,2022-01-01,44,Other,Y,NGET-EMFIP-AGPT-06398902,1,2022-01-01 22:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904779,5458.278,Sequential fixed size block,PT30M,2022-01-01,44,Wind Onshore,Y,NGET-EMFIP-AGPT-06398902,1,2022-01-01 22:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904778,6153.34,Sequential fixed size block,PT30M,2022-01-01,44,Wind Offshore,Y,NGET-EMFIP-AGPT-06398902,1,2022-01-01 22:00:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904777,0.0,Sequential fixed size block,PT30M,2022-01-01,44,Solar,Y,NGET-EMFIP-AGPT-06398902,1,2022-01-01 22:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904776,1476.0,Sequential fixed size block,PT30M,2022-01-01,43,Biomass,Y,NGET-EMFIP-AGPT-06398901,1,2022-01-01 21:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904775,537.0,Sequential fixed size block,PT30M,2022-01-01,43,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398901,1,2022-01-01 21:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904774,311.0,Sequential fixed size block,PT30M,2022-01-01,43,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398901,1,2022-01-01 21:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904773,0.0,Sequential fixed size block,PT30M,2022-01-01,43,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398901,1,2022-01-01 21:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904772,3994.0,Sequential fixed size block,PT30M,2022-01-01,43,Fossil Gas,Y,NGET-EMFIP-AGPT-06398901,1,2022-01-01 21:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904771,0.0,Sequential fixed size block,PT30M,2022-01-01,43,Fossil Oil,Y,NGET-EMFIP-AGPT-06398901,1,2022-01-01 21:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904770,6788.0,Sequential fixed size block,PT30M,2022-01-01,43,Nuclear,Y,NGET-EMFIP-AGPT-06398901,1,2022-01-01 21:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904769,187.0,Sequential fixed size block,PT30M,2022-01-01,43,Other,Y,NGET-EMFIP-AGPT-06398901,1,2022-01-01 21:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904768,5224.998,Sequential fixed size block,PT30M,2022-01-01,43,Wind Onshore,Y,NGET-EMFIP-AGPT-06398901,1,2022-01-01 21:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904767,6072.565,Sequential fixed size block,PT30M,2022-01-01,43,Wind Offshore,Y,NGET-EMFIP-AGPT-06398901,1,2022-01-01 21:30:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904766,1.0,Sequential fixed size block,PT30M,2022-01-01,43,Solar,Y,NGET-EMFIP-AGPT-06398901,1,2022-01-01 21:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904765,1484.0,Sequential fixed size block,PT30M,2022-01-01,42,Biomass,Y,NGET-EMFIP-AGPT-06398900,1,2022-01-01 21:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904764,673.0,Sequential fixed size block,PT30M,2022-01-01,42,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398900,1,2022-01-01 21:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904763,322.0,Sequential fixed size block,PT30M,2022-01-01,42,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398900,1,2022-01-01 21:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904762,0.0,Sequential fixed size block,PT30M,2022-01-01,42,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398900,1,2022-01-01 21:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904761,4762.0,Sequential fixed size block,PT30M,2022-01-01,42,Fossil Gas,Y,NGET-EMFIP-AGPT-06398900,1,2022-01-01 21:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904760,0.0,Sequential fixed size block,PT30M,2022-01-01,42,Fossil Oil,Y,NGET-EMFIP-AGPT-06398900,1,2022-01-01 21:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904759,6801.0,Sequential fixed size block,PT30M,2022-01-01,42,Nuclear,Y,NGET-EMFIP-AGPT-06398900,1,2022-01-01 21:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904758,144.0,Sequential fixed size block,PT30M,2022-01-01,42,Other,Y,NGET-EMFIP-AGPT-06398900,1,2022-01-01 21:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904757,5241.261,Sequential fixed size block,PT30M,2022-01-01,42,Wind Onshore,Y,NGET-EMFIP-AGPT-06398900,1,2022-01-01 21:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904756,6184.283,Sequential fixed size block,PT30M,2022-01-01,42,Wind Offshore,Y,NGET-EMFIP-AGPT-06398900,1,2022-01-01 21:00:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904755,1.0,Sequential fixed size block,PT30M,2022-01-01,42,Solar,Y,NGET-EMFIP-AGPT-06398900,1,2022-01-01 21:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904754,1478.0,Sequential fixed size block,PT30M,2022-01-01,41,Biomass,Y,NGET-EMFIP-AGPT-06398899,1,2022-01-01 20:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904753,1109.0,Sequential fixed size block,PT30M,2022-01-01,41,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398899,1,2022-01-01 20:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904752,338.0,Sequential fixed size block,PT30M,2022-01-01,41,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398899,1,2022-01-01 20:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904751,0.0,Sequential fixed size block,PT30M,2022-01-01,41,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398899,1,2022-01-01 20:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904750,4847.0,Sequential fixed size block,PT30M,2022-01-01,41,Fossil Gas,Y,NGET-EMFIP-AGPT-06398899,1,2022-01-01 20:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904749,0.0,Sequential fixed size block,PT30M,2022-01-01,41,Fossil Oil,Y,NGET-EMFIP-AGPT-06398899,1,2022-01-01 20:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904748,6800.0,Sequential fixed size block,PT30M,2022-01-01,41,Nuclear,Y,NGET-EMFIP-AGPT-06398899,1,2022-01-01 20:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904747,133.0,Sequential fixed size block,PT30M,2022-01-01,41,Other,Y,NGET-EMFIP-AGPT-06398899,1,2022-01-01 20:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904746,5238.843,Sequential fixed size block,PT30M,2022-01-01,41,Wind Onshore,Y,NGET-EMFIP-AGPT-06398899,1,2022-01-01 20:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904745,6239.69,Sequential fixed size block,PT30M,2022-01-01,41,Wind Offshore,Y,NGET-EMFIP-AGPT-06398899,1,2022-01-01 20:30:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904744,0.0,Sequential fixed size block,PT30M,2022-01-01,41,Solar,Y,NGET-EMFIP-AGPT-06398899,1,2022-01-01 20:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904743,1502.0,Sequential fixed size block,PT30M,2022-01-01,40,Biomass,Y,NGET-EMFIP-AGPT-06398898,1,2022-01-01 20:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904742,1298.0,Sequential fixed size block,PT30M,2022-01-01,40,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398898,1,2022-01-01 20:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904741,401.0,Sequential fixed size block,PT30M,2022-01-01,40,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398898,1,2022-01-01 20:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904740,0.0,Sequential fixed size block,PT30M,2022-01-01,40,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398898,1,2022-01-01 20:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904739,4367.0,Sequential fixed size block,PT30M,2022-01-01,40,Fossil Gas,Y,NGET-EMFIP-AGPT-06398898,1,2022-01-01 20:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904738,0.0,Sequential fixed size block,PT30M,2022-01-01,40,Fossil Oil,Y,NGET-EMFIP-AGPT-06398898,1,2022-01-01 20:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904737,6787.0,Sequential fixed size block,PT30M,2022-01-01,40,Nuclear,Y,NGET-EMFIP-AGPT-06398898,1,2022-01-01 20:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904736,147.0,Sequential fixed size block,PT30M,2022-01-01,40,Other,Y,NGET-EMFIP-AGPT-06398898,1,2022-01-01 20:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904735,5305.947,Sequential fixed size block,PT30M,2022-01-01,40,Wind Onshore,Y,NGET-EMFIP-AGPT-06398898,1,2022-01-01 20:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904734,6454.727,Sequential fixed size block,PT30M,2022-01-01,40,Wind Offshore,Y,NGET-EMFIP-AGPT-06398898,1,2022-01-01 20:00:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904733,0.0,Sequential fixed size block,PT30M,2022-01-01,40,Solar,Y,NGET-EMFIP-AGPT-06398898,1,2022-01-01 20:00:00+00:00
